5926.35,7.79,73.92,165.35,151.55890901400608
0.0,8.53,58.33,0.0,-17.453896430799805
0.0,5.79,50.27,0.0,-18.271763078963293
611.42,16.23,65.85,0.45,-11.283414067385507
2090.42,9.01,68.21,2.82,44.14678506382757
0.0,5.5,54.08,0.0,-14.623197906128922
391.94,0.0,55.94,0.31,8.435355396797995
391.94,0.0,55.94,0.31,8.435355396797995
1250.15,7.41,64.08,0.88,22.153951736312415
3426.23,7.15,71.09,104.01,85.21890446091277
0.0,13.05,73.7,0.0,-14.443490326400621
7716.21,7.32,76.92,189.79,201.74246659057874
4087.95,4.13,72.94,111.16,110.22229330152018
2758.23,8.17,73.38,1.81,67.48290254469487
391.94,0.0,55.94,0.31,8.435355396797995
755.05,5.08,60.67,0.57,11.267831713593118
391.94,0.0,55.94,0.31,8.435355396797995
391.94,0.0,55.94,0.31,8.435355396797995
2321.67,0.0,67.11,84.89,67.85423742741088
0.0,4.5,58.56,0.0,-8.976965562402697
3993.06,8.0,72.07,117.08,99.08013142858016
6820.06,5.25,75.86,190.49,181.71431871796875
5856.54,3.97,75.52,168.06,158.87521921707844
1483.95,7.53,65.59,1.03,29.23151946488695
3194.84,11.38,72.51,2.09,71.6001282130353
2321.67,0.0,67.11,84.89,67.85423742741088
3545.38,8.12,71.72,105.83,86.84387119129661
9532.02,9.69,77.34,252.67,244.69415953189252
0.0,13.97,74.62,0.0,-15.59968655514012
2996.65,7.73,71.39,83.05,73.03013973956052
4365.77,8.02,72.93,113.62,109.4759895842366
837.22,0.0,55.94,1.2,20.08156027675225
837.22,0.0,55.94,1.2,20.08156027675225
0.0,6.86,69.9,0.0,-4.749870922470187
391.94,0.0,55.94,0.31,8.435355396797995
392.02,0.0,55.86,0.31,8.373368830965369
0.0,6.95,59.43,0.0,-13.32156249332823
1748.22,7.65,67.29,1.19,37.25822561905405
2321.69,0.0,67.1,84.89,67.84674929959752
0.0,7.33,69.82,0.0,-5.781090999439314
9828.83,12.35,77.83,256.95,247.3760771256479
2321.7,0.0,67.07,84.89,67.82298201063892
0.0,5.37,60.28,0.0,-9.389479139864427
9966.1,9.47,77.74,263.72,256.82053765430186
0.0,11.3,68.75,0.0,-14.80740051658011
8305.02,6.63,76.99,225.77,218.61857052075783
667.39,9.15,61.16,0.71,0.9925855434159487
835.68,0.02,54.79,1.2,19.078976774943918
2435.91,15.3,69.2,3.17,41.03279579999819
1559.41,6.97,65.68,2.08,32.429592136806114
0.0,5.92,65.41,0.0,-6.412091872101101
1676.03,0.03,66.8,60.83,50.6576193995196
3758.34,7.92,72.26,100.03,93.2578910764106
6766.5,7.87,75.58,167.85,174.69790241191373
6550.41,6.92,75.57,163.91,170.99296053587287
8861.55,7.78,77.07,238.24,230.8721818502047
1227.52,7.77,63.38,1.57,20.260578940019393
0.0,6.88,58.77,0.0,-13.706182583710216
811.34,0.06,36.65,1.16,3.829878460875456
934.82,7.54,61.55,1.15,11.612516063453668
1671.11,0.0,67.11,60.75,50.8389777088583
3417.07,7.84,71.87,92.42,84.1842735551308
3544.17,2.74,73.21,100.27,99.0763697072644
0.0,12.63,72.12,0.0,-14.84481747296249
5519.71,4.49,75.74,143.07,149.17169469278795
3003.88,8.24,71.65,82.71,72.3780526575043
7335.81,7.85,76.24,180.7,190.15790165589962
6149.75,14.87,81.38,3.89,148.80854871266646
6190.8,13.88,76.62,149.0,148.10659544137533
0.0,5.69,66.62,0.0,-4.969599023250062
0.0,8.12,70.8,0.0,-6.621722316252168
1337.96,8.51,64.42,0.94,22.459422953928886
391.94,0.0,55.94,0.31,8.435355396797995
2335.39,12.26,68.59,1.56,44.17064004586843
1671.68,0.0,67.09,60.76,50.837864259159936
392.07,0.03,54.87,0.31,7.519951126369776
635.06,1.59,63.42,0.47,17.513795129627844
391.94,0.0,55.94,0.31,8.435355396797995
392.99,0.04,55.9,0.31,8.348470149797897
372.65,0.09,43.58,0.3,-2.154753877329469
4204.49,13.89,75.64,104.23,95.34951923042021
391.94,0.0,55.94,0.31,8.435355396797995
0.0,2.7,42.09,0.0,-18.465539071783475
1335.48,3.26,71.36,0.91,38.756665025363624
